driverId,name,ssn,location,certified,wage-plan
10,James Wilkerson,508-03-7311,"0034 Johnson Course Suite 753
Lake Sergio, HI 51823",Y,hours
11,Lee Miller,457-72-9191,"3927 Phillips Valley
Gregorystad, UT 03877",Y,hours
12,Luke Atkinson,615-08-7146,"USCGC Baker
FPO AA 32980",N,hours
13,Michael Hensley,120-49-1448,"183 Simon Track Suite 693
South Dylanberg, MO 86846",Y,miles
14,Elizabeth Bowman,093-01-0873,"273 Castillo Valley Suite 567
West Markland, AZ 25205",Y,miles
15,Nicole Atkins,081-47-6898,"037 Sherry Coves
Jacksonmouth, CT 08939",Y,hours
16,Leah Henderson,211-54-2304,"9100 Matthew Flats Apt. 715
Williamside, FM 49346",Y,miles
17,Randy Davies,631-65-4318,"226 Charles Crescent
Josephborough, KY 15494",Y,miles
18,Thomas West,555-88-7607,"11728 Susan Summit
West Vickieburgh, MO 50541",Y,miles
19,Janet Davis,665-92-8032,"73581 Jackson Trafficway
North Nicholasmouth, PW 24979",N,miles
20,Edward Villarreal,338-78-2114,"PSC 0015, Box 6460
APO AE 44523",N,hours
21,Anthony Miller,186-16-1827,"24808 Mcconnell Club Apt. 125
Moranview, NJ 64515",N,miles
22,Michael Drake,255-98-8332,"2901 Becky Junctions
Deborahland, PW 76328",N,miles
23,Laura Gonzales,882-80-2655,"9507 Tiffany Cliffs Suite 663
North Tamara, CO 06519",Y,hours
24,Erika Middleton,341-09-9612,"2035 Alexandra Plains Apt. 114
Lake Ericmouth, NY 31522",N,hours
25,Kelli Phillips,807-46-2059,"226 Fox Plain Apt. 875
Lake Lindafort, GU 18249",Y,hours
26,Timothy Wilson,192-42-4786,"9160 Molina Square
Port Heather, UT 42175",Y,miles
27,Melissa Henry,478-87-3854,"PSC 7410, Box 9557
APO AE 65856",N,miles
28,Rickey Reed,281-16-0049,"785 Reed Cliff
West Crystal, MP 87303",N,miles
29,Gina Garcia,211-93-1252,"09723 Amy Neck
Guzmanmouth, MI 74032",N,hours
30,Stephen Rogers,539-69-6214,"861 Bright Court
Port Travis, AL 05768",Y,hours
31,Kathleen Li,467-81-7753,"77428 Charles Stravenue
Timothymouth, WY 80569",N,hours
32,Erika Brooks,681-87-5645,"08532 Wesley Ford
Victorville, OK 88734",Y,miles
33,Yesenia James,897-98-4612,"7636 Navarro Cliffs Apt. 975
South Johnside, RI 13105",Y,hours
34,Lori Woods,817-12-8150,"671 Bird Viaduct Apt. 716
Brennanfort, AZ 22747",N,hours
35,Kenneth Roberts,707-42-2588,"457 Kimberly Mountain Suite 298
West Pamelafurt, NH 31097",N,miles
36,Riley Cowan,153-49-5798,"54524 Lisa Stream Suite 388
South Erikfurt, MS 27004",Y,hours
37,Kristin Williams,135-89-2677,"58843 Crystal View Suite 043
Melissabury, WY 69152",Y,miles
